,Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Tabard,Shirt,Off Hand,score
4318,Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ring of Perpetual Conflict,Fleshfused Circle,Gluttonous Spike,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,,,Acidslough Bulwark,626.8
4319,Wrathbark Greathelm,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Gormshell Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Twisted Witherroot Band,Bloodoath Signet,Blood-Spattered Scale,Darkmoon Deck: Repose,Drape of Twisted Loyalties,Engorged Worm Smasher,Renowned Guild Tabard,,Barricade of the Endless Empire,547.2
4320,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Muckwallow Stompers,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Death God's Signet,Ring of Perpetual Conflict,Darkmoon Deck: Voracity,Inscrutable Quantum Device,Blighted Margrave's Cloak,Engorged Worm Smasher,,,Barricade of the Endless Empire,478.2
4321,Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Death God's Signet,Twisted Witherroot Band,Anima Field Emitter,Bladedancer's Armor Kit,Decadent Nathrian Shawl,Gorestained Cleaver,Tabard of the Lightbringer,Darnassus Doublet,Barricade of the Endless Empire,651.9
4322,Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Stonebark Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Selfless Collector's Gauntlets,Ritualist's Treasured Ring,Entwined Gorger Tendril,Bargast's Leash,Blood-Spattered Scale,Drape of Twisted Loyalties,Supercollider,Stormwind Tabard,,Elysian Sentinel's Aegis,802.3
4323,Wing Commander's Helmet,Muckformed Chain Choker,Prankster's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Gormshell Greaves,Warboots of Ruthless Conviction,Wristclamps of Remorse,Fleshfused Crushers,Fleshfused Circle,Ring of Perpetual Conflict,Darkmoon Deck: Indomitable,Bargast's Leash,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Tabard of the 7th Legion,,Elysian Sentinel's Aegis,423.3
4324,Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stonebark Girdle,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Band of the Risen Bonelord,Hyperlight Band,Sinful Gladiator's Badge of Ferocity,Sinful Aspirant's Insignia of Alacrity,Dealer Xy'exa's Cape,Supercollider,,Precious' Ribbon,Encrusted Canopic Lid,843.3
4325,Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Reality-Shatter Vambraces,Fleshfused Crushers,Fleshfused Circle,Ring of Perpetual Conflict,Bladedancer's Armor Kit,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Renowned Guild Tabard,Paper Shirt,Acidslough Bulwark,624.1
4326,Darkfrost Helmet,Sin Stained Pendant,Selfless Collector's Spaulders,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Warboots of Ruthless Conviction,Selfless Collector's Wristguards,Hardened Castle Crushers,Ritual Bone Band,Signet of the False Accuser,Darkmoon Deck: Indomitable,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Gorestained Cleaver,Stormwind Tabard,,Acidslough Bulwark,297.2
4327,Darkfrost Helmet,Noble's Birthstone Pendant,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Dread Sentinel's Ebony Greatboots,Pit Fighter's Wristguards,Fleshfused Crushers,Band of the Risen Bonelord,Shadowghast Ring,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,,,Encrusted Canopic Lid,722.1
4328,Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Waistguard of Expurged Anguish,Gormshell Greaves,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Fleshfused Circle,Ring of Perpetual Conflict,Decanter of Anima-Charged Winds,Spare Meat Hook,Cloak of Enveloping Manifestations,Supercollider,Tabard of the Ascended,Squire's Shirt,Acidslough Bulwark,761.5
4329,Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ritual Bone Band,Ring of Perpetual Conflict,Gluttonous Spike,Anima Field Emitter,Cloak of Enveloping Manifestations,Gorestained Cleaver,Lightforged Tabard,Stylish Black Shirt,Acidslough Bulwark,591.4
4330,Wrathbark Greathelm,Sinful Gladiator's Amulet,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Shadowghast Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Guilewind Stone Talons,Hyperlight Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Crest of the Legionnaire General,Axe of the Deadgrove,,,Builwark of the Stone Legion,653.0
4331,Wrathbark Greathelm,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Shoulderblade Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Bloodoath Signet,Decanter of Anima-Charged Winds,Gluttonous Spike,Cowled Batwing Cloak,Gorestained Cleaver,,,Elysian Sentinel's Aegis,700.0
4332,Diadem of Imperious Desire,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Stoneguard Attendant's Boots,Hellhound Cuffs,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Stone Legion Heraldry,Skulker's Wing,Dealer Xy'exa's Cape,Sinful Aspirant's Mace,Tabard of the Lightbringer,,Sinful Gladiator's Redoubt,559.1
4333,Shadowghast Helm,Trailspinner Pendant,Epaulettes of Overwhelming Force,Abdominal Securing Chestguard,Binding of Warped Desires,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Shoulderblade Vambraces,Guilewind Stone Talons,Signet of the False Accuser,Hyperlight Band,Slimy Consumptive Organ,Anima Field Emitter,Cowled Batwing Cloak,Gorestained Cleaver,,,Encrusted Canopic Lid,286.8
4334,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Dread Sentinel's Ebony Grips,Bloodoath Signet,Stitchflesh's Misplaced Signet,Bladedancer's Armor Kit,Decanter of Anima-Charged Winds,Crest of the Legionnaire General,Engorged Worm Smasher,,,Builwark of the Stone Legion,562.5
4335,Wrathbark Greathelm,Skychime Necklace,Unyielding Combatant's Pauldrons,Selfless Collector's Chestplate,Stoic Guardsman's Belt,Gormshell Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Hyperlight Band,Shadowghast Ring,Anima Field Emitter,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Axe of the Deadgrove,,,Acidslough Bulwark,489.9
4336,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Muckwallow Stompers,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Bloodoath Signet,Death God's Signet,Viscera of Coalesced Hatred,Bargast's Leash,Silvernote Cloak,Supercollider,,Red Linen Shirt,Elysian Sentinel's Aegis,828.0
4337,Wrathbark Greathelm,Trailspinner Pendant,Pauldrons of Unleashed Pride,Selfless Collector's Chestplate,Fused Bone Greatbelt,Shadowghast Greaves,Dynamo Doomstompers,Hellhound Cuffs,Fleshfused Crushers,Bloodoath Signet,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Viscera of Coalesced Hatred,Drape of Twisted Loyalties,Sophisticated Bonecracker,,,Sinful Gladiator's Guard,795.1
4338,Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Stonewrought Armplates,Selfless Collector's Gauntlets,Signet of the False Accuser,Ring of Perpetual Conflict,Slimy Consumptive Organ,Bladedancer's Armor Kit,Cowled Batwing Cloak,Sophisticated Bonecracker,,,Acidslough Bulwark,720.9
4339,Diadem of Imperious Desire,Trailspinner Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Errant Crusader's Greaves,Reality-Shatter Vambraces,Shadowsteel Gauntlets,Bloodoath Signet,Signet of the False Accuser,Pyrite Infuser,Inscrutable Quantum Device,Cloak of Enveloping Manifestations,Ascended Gladius of Glory,Tushui Tabard,,Acidslough Bulwark,497.8
4340,Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Gormshell Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Bloodoath Signet,Ritualist's Treasured Ring,Bladedancer's Armor Kit,Anima Field Emitter,Silvernote Cloak,Sinsmasher,Guild Tabard,Red Linen Shirt,Duskwarder Shield,568.7
4341,Sinful Aspirant's Plate Helm,Sinful Aspirant's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Aspirant's Plate Warboots,Shoulderblade Vambraces,Fleshfused Crushers,Sinful Gladiator's Ring,Ritual Commander's Ring,Sinful Gladiator's Insignia of Alacrity,Sinful Aspirant's Relentless Brooch,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Stormwind Tabard,Lucky Shirt,Barricade of the Endless Empire,1198.3
4342,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Blighted Margrave's Cloak,Supercollider,Silvermoon City Tabard,,Acidslough Bulwark,1049.6
4343,Wrathbark Greathelm,Noble's Birthstone Pendant,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Hardened Castle Crushers,Entwined Gorger Tendril,Ritual Commander's Ring,Sanguine Vintage,Anima Field Emitter,Mantle of Manifest Sins,Ascended Gladius of Glory,Sunreaver Tabard,Stylish Red Shirt,Chyrus's Crest of Hope,852.5
4344,Wrathbark Greathelm,Sin Stained Pendant,Vile Butcher's Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Most Regal Signet of Sire Denathrius,Shadowghast Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Crest of the Legionnaire General,Sophisticated Bonecracker,Argent Crusader's Tabard,Artisan Officer's Shirt,Encrusted Canopic Lid,1173.5
4345,Wing Commander's Helmet,Sinful Aspirant's Necklace,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Sinful Aspirant's Ring,Stitchflesh's Misplaced Signet,Sinful Aspirant's Insignia of Alacrity,Sinful Aspirant's Medallion,Blighted Margrave's Cloak,Sinful Gladiator's Swordbreaker,Argent Crusader's Tabard,Master Builder's Shirt,Sinful Gladiator's Redoubt,1041.5
4346,Wing Commander's Helmet,Sinful Aspirant's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Inscrutable Quantum Device,Stone Legion Heraldry,Decadent Nathrian Shawl,Barbed-Edge of the Stone Legion,,Irradiated Undercoat,Builwark of the Stone Legion,1006.7
4347,Shadowghast Helm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Hyperlight Band,Band of the Risen Bonelord,Inscrutable Quantum Device,Gluttonous Spike,Cowled Batwing Cloak,Axe of the Deadgrove,,,Encrusted Canopic Lid,1002.3
4348,Sinful Gladiator's Plate Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Ritual Bone Band,Blood-Spattered Scale,Gluttonous Spike,Sinful Gladiator's Drape,Sinsmasher,Renowned Guild Tabard,,Sinful Gladiator's Guard,1014.5
4349,Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Tharatos' Charred Chestplate,Scarred Bloodbound Girdle,Gormshell Greaves,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Ardent Sunstar Signet,Signet of the False Accuser,Anima Field Emitter,Slimy Consumptive Organ,Drape of Twisted Loyalties,Engorged Worm Smasher,,,Barricade of the Endless Empire,950.5
4350,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Axe of the Deadgrove,Tabard of the 7th Legion,,Barricade of the Endless Empire,896.4
4351,Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Stonebark Girdle,Selfless Collector's Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Ritual Commander's Ring,Viscera of Coalesced Hatred,Decanter of Anima-Charged Winds,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,,Captain Sanders' Shirt,Elysian Sentinel's Aegis,827.9
4352,Darkfrost Helmet,Noble's Birthstone Pendant,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Reality-Shatter Vambraces,Guilewind Stone Talons,Fleshfused Circle,Ritual Commander's Ring,Decanter of Anima-Charged Winds,Anima Field Emitter,Dealer Xy'exa's Cape,Supercollider,,,Waylight Defender,856.2
4353,Shadowghast Helm,Trailspinner Pendant,Sinful Gladiator's Plate Shoulders,Abdominal Securing Chestguard,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Stompers,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Entwined Gorger Tendril,Ritual Bone Band,Darkmoon Deck: Indomitable,Viscera of Coalesced Hatred,Sinful Gladiator's Shawl,Sinful Gladiator's Hacker,Tabard of the Lightbringer,,Sinful Gladiator's Guard,810.8
4354,Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Shoulderblade Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Most Regal Signet of Sire Denathrius,Bargast's Leash,Blood-Spattered Scale,Drape of Twisted Loyalties,Sophisticated Bonecracker,,,Elysian Sentinel's Aegis,1009.6
4355,Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Selfless Collector's Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Signet of the False Accuser,Death God's Signet,Slimy Consumptive Organ,Spare Meat Hook,Drape of Twisted Loyalties,Sophisticated Bonecracker,,,Sinful Gladiator's Guard,815.4
4356,Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Steelcore Gauntlets,Arachnid Cipher Ring,Ritualist's Treasured Ring,Blood-Spattered Scale,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Engorged Worm Smasher,,Paper Shirt,Barricade of the Endless Empire,652.8
4357,Wrathbark Greathelm,Trailspinner Pendant,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Sinful Gladiator's Plate Wargreaves,Warboots of Ruthless Conviction,Shoulderblade Vambraces,Guilewind Stone Talons,Shadowghast Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Drape,Engorged Worm Smasher,,,Acidslough Bulwark,764.9
4358,Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fleshfused Crushers,Ritual Bone Band,Hyperlight Band,Blood-Spattered Scale,Spare Meat Hook,Dealer Xy'exa's Cape,Axe of the Deadgrove,Tabard of the Lightbringer,Lucky Shirt,Encrusted Canopic Lid,945.6
4359,Wrathbark Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Sinful Gladiator's Plate Greatbelt,Endlessly Gluttonous Greaves,Greaves of the Rockmender,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Ritual Commander's Ring,Viscera of Coalesced Hatred,Inscrutable Quantum Device,Grim-Veiled Cape,Supercollider,,Fashionable Undershirt,Acidslough Bulwark,774.1
4360,Oversized Centurion Helm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Ritual Bone Band,Band of the Risen Bonelord,Blood-Spattered Scale,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Supercollider,,,Acidslough Bulwark,1027.1
4361,Shadowghast Helm,Sinful Aspirant's Necklace,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Sinful Gladiator's Band,Sinful Gladiator's Ring,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Gorestained Cleaver,,,Sinful Gladiator's Guard,766.8
4362,Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Tharatos' Charred Chestplate,Fused Bone Greatbelt,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Band of the Risen Bonelord,Bloodoath Signet,Splintered Heart of Al'ar,Slimy Consumptive Organ,Blighted Margrave's Cloak,Axe of the Deadgrove,Stormwind Tabard,,Acidslough Bulwark,800.2
